Distance (Å),Window 1,Window 2,Window 3,Window 4
103.5,0.6764800681321668,0.8939666923152522,1.2694282876030902,1.5275762923167064
104.5,0.6789644538255576,0.8932326930913943,1.2735456827416276,1.5310872847716925
105.5,0.6820553354303912,0.8944123188044911,1.2748819072219433,1.5307999070056808
106.5,0.6867099313342001,0.8968945724940748,1.274359454526659,1.5284100963890743
107.5,0.6913867341686342,0.900747783186781,1.2698649872169068,1.5239742360564756
108.5,0.6988982932012969,0.9078436123837762,1.2652376629723616,1.5159696906308253
109.5,0.7066879810537685,0.917613814489292,1.2581385712086004,1.5079630961179311
110.5,0.7148814567392597,0.9286082525643413,1.245399086138257,1.4986818984247905
111.5,0.7229007337602875,0.9407264151926747,1.2296848045882824,1.4874119916031603
112.5,0.7306952713976553,0.9545651135806896,1.210940388314261,1.4741905710508127
113.5,0.7387641115266672,0.9691049024004765,1.1897513140224893,1.4602036100908253
114.5,0.7480273633361051,0.9837310495071252,1.1662274639945058,1.444541586872769
115.5,0.7559658888918137,0.997645623583801,1.1403518124449368,1.4299544846455272
116.5,0.764091006332373,1.0121674804114416,1.114344311313302,1.4113715728558358
117.5,0.7725406621546203,1.0226376533349173,1.0872491226108512,1.394091279019565
118.5,0.7815903105660642,1.0328578343856387,1.0616755606404422,1.375974875191863
119.5,0.7902865826474967,1.0400725485056561,1.0338315604722923,1.356232411973044
120.5,0.8001225529957103,1.043917658569041,1.0067081210940643,1.3354225832102
121.5,0.809153563610931,1.047283661543441,0.9800159410267087,1.3135234039211507
122.5,0.8178137535511429,1.0482080617758862,0.9519688046547389,1.2910993653757663
123.5,0.8277722740740795,1.0476315341862408,0.9253410995620728,1.265958246825719
124.5,0.8363347356086283,1.0460030430096319,0.896545124889575,1.240130771238426
125.5,0.8456932986141854,1.0447985660115502,0.86789203311695,1.213153064505297
126.5,0.854299101455272,1.0431432621730439,0.8391844809841484,1.1838452236545007
127.5,0.8642602991573451,1.0421542055650992,0.8092967316158468,1.1536414068444163
128.5,0.8742752430492123,1.0413810028613215,0.7811716056199901,1.125296868466137
129.5,0.8836647148303508,1.039900189869626,0.7537818537298472,1.0948550460342226
130.5,0.8939813270768313,1.0399083039396975,0.7277145916046995,1.0650921581578303
131.5,0.9042664630415607,1.039166867399806,0.7003775396715455,1.0350841986175952
132.5,0.9148084637408513,1.0372351582804784,0.6735984270010583,1.0022685260387874
133.5,0.9267887123498701,1.0365920498809027,0.6489525059043156,0.9719623126179046
134.5,0.938717096211042,1.0341860772857516,0.6237288849474599,0.940016516856418
135.5,0.9519692186161961,1.03106130532871,0.5996032921090148,0.9103331723876652
136.5,0.9644065268415357,1.026512554505485,0.5778910298610863,0.8819185525588304
137.5,0.9768714548557259,1.0221131058668145,0.55765070288538,0.8518199410665193
138.5,0.9896587483085946,1.0155705501732888,0.5384639974669452,0.8229323225772702
139.5,1.0023380013481675,1.0092984285727231,0.5226927496414343,0.7966187872001008
140.5,1.0144337480292647,1.0023844695997979,0.5074086982392183,0.7693313832570935
141.5,1.025855300042553,0.9952131344085099,0.4947932763279242,0.746072847097241
142.5,1.0363653569451876,0.9872341428976652,0.4843445091515579,0.7219728424012223
143.5,1.0450612404680328,0.9767912202132959,0.47422798449867937,0.6988580863675224
144.5,1.0549771305971647,0.9673615705505603,0.46556561786318806,0.6782741417740108
145.5,1.064252262222241,0.9555698609600697,0.4577384894175584,0.6590028571845671
146.5,1.0721149270362547,0.9423491426342656,0.4506143343362015,0.6415961169938665
147.5,1.080221585429115,0.9300092650804068,0.44480076161966353,0.6253845924971271
148.5,1.084658385592741,0.9093250912070512,0.4376990935293126,0.6103697190833745
149.5,1.0758151176961575,0.8621570775517139,0.4316584950124668,0.594119717344293
