Distance (Å),Window 1,Window 2,Window 3,Window 4
96.5,0.6837845857114258,0.7248882041067505,0.16131660867597672,0.4307833463128935
97.5,0.688300584418152,0.7335310567580229,0.16846354324957444,0.4464458795978297
98.5,0.6907521084673977,0.7419219518757716,0.1765933896271841,0.4619523616809682
99.5,0.6956850360596232,0.7509119071455521,0.18429392181353468,0.4793012677240399
100.5,0.6994192147012717,0.7596146785034793,0.19275112325188637,0.49548098835253457
101.5,0.703354826755964,0.7683191261652946,0.20143626761818614,0.5131517999899038
102.5,0.7087017741043092,0.7773570263314329,0.21036561296321,0.5310043091632443
103.5,0.713052427013874,0.7857202311114058,0.21961264248919904,0.5495582219222711
104.5,0.7187268605161367,0.7943898029978895,0.22911648294606551,0.5677856215264632
105.5,0.7242252587351444,0.8015035352101102,0.23923814037402744,0.5873511304782653
106.5,0.7302280772047703,0.8102255539611454,0.24928261069732802,0.6063933473746145
107.5,0.7363966050002172,0.8177867401307725,0.25992785831787446,0.6252133100755679
108.5,0.7438370780334654,0.8239951416923035,0.2707250478518157,0.6443081248097919
109.5,0.7504165959568215,0.8310250626066907,0.28177037567781527,0.6641139044199411
110.5,0.7585794289909908,0.837173954234183,0.29353913365713974,0.6823727089619698
111.5,0.7656802001085131,0.8418128341598867,0.30522032600757987,0.701379814867742
112.5,0.7733494684267862,0.8475365890571404,0.3174607908372822,0.7193736251913879
113.5,0.78283911731695,0.8505907931181947,0.3292205308652069,0.7371855658724578
114.5,0.7912346717552312,0.8532228083832477,0.34211782107364824,0.7540020703651636
115.5,0.79969432798765,0.8549249582913365,0.35487352498987196,0.7703450354157082
116.5,0.8092152539169775,0.8564548146047432,0.36757840737882425,0.7864812464956865
117.5,0.8181374584358603,0.8555116949044643,0.38084399163617383,0.8004193864431084
118.5,0.8269432498073711,0.8548750343754624,0.39440547894767736,0.814179938694404
119.5,0.836279429344516,0.853454291628103,0.407932134566594,0.8267824398351404
120.5,0.8455199407297618,0.8514739723184719,0.4218617067970953,0.8388780832743924
121.5,0.8548523586470093,0.8478973679704598,0.43568528852958355,0.851069566581743
122.5,0.8626488231492425,0.8447331663919018,0.44995255349285246,0.8614941526626566
123.5,0.8721578888693357,0.8408915431406083,0.46469981611179584,0.8728201928597731
124.5,0.8803817208812736,0.8365158643493741,0.47884444923612074,0.8825273588427519
125.5,0.8888583607299239,0.8326458595896058,0.4939889365492009,0.893381220022828
126.5,0.8984125773273934,0.8282297006377487,0.5087212983931642,0.9037915814321597
127.5,0.9059463420872043,0.8226635269349001,0.5241099162042993,0.9136052569865485
128.5,0.9146993069384568,0.8175194594690754,0.5387191044056003,0.9245628910425042
129.5,0.9229232291497118,0.8123745836461415,0.5544743124784189,0.9349828859757601
130.5,0.9311746730793461,0.8068176770229153,0.5702440270733666,0.9466521534837264
131.5,0.9391698211821037,0.8010990387746814,0.5853089654809589,0.9568579513590973
132.5,0.9468644807077752,0.7969734893023519,0.601417502077147,0.9679737967369251
133.5,0.9557806407640267,0.7907660537253661,0.6164905149744957,0.9795240069566564
134.5,0.9632525897150711,0.785786495270692,0.6332148048908621,0.9912979555315409
135.5,0.9713011729863221,0.7806753253014687,0.6485615449069894,1.0039861734445583
136.5,0.9792533349754511,0.7763952881737218,0.6643790114443854,1.0152080923435356
137.5,0.9868521355730243,0.7720933763348983,0.680393033631848,1.02835584185453
138.5,0.9950805339139968,0.7678773613487307,0.6959486415312691,1.0401753182476923
139.5,1.0020944912795264,0.764289681096972,0.7122735186982193,1.0542626752627824
140.5,1.0096961371916684,0.76206064813493,0.7280952236188443,1.067242634209089
141.5,1.0171460112683692,0.7593082100661057,0.7441561839710868,1.0812222465591468
142.5,1.0143553354263308,0.7449126514506329,0.7597488856019178,1.093860763325146
143.5,1.0043615669955828,0.7250302193376694,0.7757566476425007,1.1033225529140311
144.5,0.9932726742373863,0.70734175183944,0.7915000048762268,1.1116763570226915
145.5,0.982294590655166,0.6925695588627057,0.8071331629867926,1.1180114838494877
146.5,0.9711705183593116,0.6783833178280099,0.8229059416695796,1.122570478527289
147.5,0.9606607055509137,0.6665302060409315,0.8390921818876409,1.1259110301341748
148.5,0.9487032573104678,0.6556841209262749,0.8548190710937833,1.1257912232605087
149.5,0.9332357747664067,0.644948255607162,0.8694978939782203,1.1166389783648134
150.5,0.9181740210604588,0.6361316138262153,0.8845864527591569,1.1069468066242298
151.5,0.9044678974143929,0.6289696621003691,0.8987240458359114,1.09563857716736
152.5,0.8910259895516556,0.6236614648447162,0.9118139221895324,1.084928585354049
153.5,0.8786223491240731,0.6191397433516437,0.9231837419386759,1.0741930046849701
154.5,0.8661354769100804,0.616109800393194,0.9341876484862016,1.0623891195763557
155.5,0.8536170572961894,0.6129902874464127,0.9427975806459515,1.0495306393626715
